ID,Alpha,Beta,Gamma
2749,50000,0,43686267
2852,0,0,27684392
1154,178000,0,44515132
1037,108000,1,44670037
1183,390000,0,57815571
4682,0,0,27487918
1009,0,0,59070686
1001,215000,1,61196510
2930,2336000,10,60817300
1030,340000,1,53424902
2990,659000,2,53756581
1208,310000,2,50373489
2594,483000,7,44833519
1243,973200,5,43232189
2512,0,0,55935137
1434,122000,0,26094887
2657,66000,0,44338390
1074,140000,0,41598882
1255,216000,0,42298635
1258,478000,0,63335735
1066,0,0,59340767
3043,0,0,63691084
1046,0,0,56558397
3041,494000,1,55184891
3042,0,0,39147090
1233,81000,0,34939733
1585,237000,0,58780363
1027,0,0,42325774
1927,90000,0,59494844
1038,0,0,46394386
2951,1587000,15,39164935
2950,0,0,60304095
1050,190000,0,41435646
2533,0,0,61565614
2606,195000,0,56457111
1135,90000,0,43742476
2248,80000,0,49182891
0,0,0,0
1137,885000,8,60854240
2640,345000,2,45813706
4763,418000,1,57732812
2633,452000,1,41439225
4608,25000,1,39316052
2128,0,0,60059839
1708,153000,1,66591007
1817,684000,3,58667980
4759,0,0,62205405
2858,35000,0,58915091
1010,165000,0,65337182
1107,307000,1,43030664
2502,52000,0,60632929
1255,36000,0,57160930
2784,0,0,44661706
1376,319000,2,50107965
1217,1103000,5,21917837
4253,0,0,39284758
1051,15000,0,62494716
2990,115000,0,48039640
2249,176000,0,55997830
2802,985000,6,30340447
1895,253000,0,57614775
1506,228000,1,63190445
1268,69000,0,57279660
1243,603000,2,60264681
2949,153000,1,56701831
1225,959200,4,46016145
1769,462000,2,46915882
1074,70000,0,65725566
1377,389000,1,54504083
1039,222000,1,21474397
1273,15000,0,42594837
1038,0,0,61916531
1794,60000,0,56708183
1348,544000,3,41496006
2760,0,0,47354811
1981,238000,0,28501243
2215,82000,0,61090294
4794,0,0,25552352
1703,262000,1,47465825
2622,337000,1,47522412
1103,224000,0,43348824
1975,300000,7,59882552
1252,758000,8,58457271
2092,15000,0,54111632
2863,70000,0,21952876
2533,0,0,54477892
2097,975000,5,56913731
1116,210000,0,30894558
1346,78000,0,62623847
2109,0,0,43792398
1256,106000,1,58255011
4202,0,0,44983942
1229,75000,0,49696896
4651,187000,1,61702475
4579,0,0,42126700
2855,0,0,58825408
0,0,0,0
2640,40000,0,51266747
2128,65000,0,39788836
1724,902000,4,50440488
1753,503000,0,62443780
1991,228000,1,43105393
1684,35000,0,59016288
1246,50200,0,22280998
2050,86000,0,62057022
