ID,Alpha,Beta,Gamma
2260,334000,1,27438633
1490,0,0,50528833
4241,15000,0,45866013
4695,125000,3,58173238
1045,257000,1,48788436
2097,351000,1,37171742
2666,0,0,41064007
1272,0,0,48038368
2852,140000,0,41779089
1135,75000,1,52381423
2091,220000,1,41058547
1537,0,0,44165919
1623,305000,0,21740417
0,0,0,0
1739,295000,0,58200711
1015,935000,4,42912672
2080,0,0,23548484
1409,1587000,5,50083258
5890,216000,0,39774871
5862,464000,0,53900063
4774,135000,0,54875055
4885,30000,0,41603663
1010,334000,0,34955359
4248,27000,0,43161231
4820,375000,1,59523635
3014,0,0,50922421
2965,364000,2,34074803
5864,138000,0,39654338
2970,424000,0,48354275
1003,0,0,45944933
2557,511000,5,58921681
1708,30000,0,62774841
1113,412000,1,62271089
4233,0,0,59959320
2928,168000,1,39736114
2725,815000,3,40635286
2729,0,0,54390980
4802,0,0,43374071
2584,84000,0,43679951
1001,10000,0,50387086
1149,753000,3,43907204
5853,490000,1,57994428
1251,715000,3,58130245
2980,963000,2,49632259
2898,350000,0,51481789
1772,30000,0,57487757
1877,1194000,2,47004180
2930,134000,0,46022447
1840,0,0,34719048
5902,0,0,40229150
1066,15000,0,42907451
4808,156000,1,64566180
1953,93000,0,47203643
1213,330000,1,55756353
4236,237000,0,40104915
1730,918000,3,62890428
2625,144000,0,41836243
2600,550000,3,43414435
4884,0,0,43050116
1183,115000,0,60397066
4891,60000,0,60154841
1116,100000,0,41902913
1759,0,0,48600954
4833,0,0,45486464
1573,0,0,38496950
5896,60000,0,43916788
1346,15000,0,53514493
2520,481000,2,53623368
1256,0,0,60809589
4657,274000,1,64619055
1924,60000,0,62990338
1050,120000,0,50533949
4531,45000,0,34443383
1047,270000,1,59731417
0,0,0,0
1724,888000,3,55911847
4608,302000,0,61169004
5912,397200,1,59894259
4763,565600,1,46182997
1991,0,0,13458254
5944,75000,0,45529147
1753,90000,0,40896209
1409,143000,0,62983697
1015,1116000,4,44788921
4774,242000,1,59680050
5955,122000,0,38671998
4230,72000,0,34854760
4683,0,0,41963157
5862,264000,1,55384145
4759,316000,0,32856565
1715,334000,1,60649050
1416,0,0,59314356
2898,170000,0,49901599
3043,1325400,4,46291432
5924,118000,0,24563735
2970,21000,0,56764277
4834,0,0,61225442
2816,108800,0,60430823
1441,45000,0,41900431
1256,0,0,25552352
2655,340000,1,58756103
1756,290000,1,38818900
1828,53000,0,23492192
1301,182600,0,47932453
1040,548000,1,43054431
1183,0,0,55880691
1666,687600,1,35433154
5942,46000,0,58389920
1222,138000,0,31539102
1968,0,0,36386009
4609,703000,2,59073422
4655,0,0,49723531
1553,0,0,56334409
1330,0,0,26871994
2191,30000,0,46039067
0,0,0,0
2727,1475000,6,33845588
1137,1257000,5,41855930
1739,669000,1,48030076
1519,0,0,63177194
4763,855000,3,47809226
1645,123000,0,45192460
4759,130000,0,59477424
1278,1353000,9,50889320
1152,144000,0,58601143
1423,45000,0,43435579
2050,1585000,4,30183753
1376,313000,0,47770778
1989,216000,2,46592665
2898,300000,0,21982187
4566,186000,0,47565048
1718,0,0,26549536
1113,511000,2,35522613
1768,364000,4,43075072
1915,217000,0,47049742
1003,143000,0,42334288
2749,281000,2,45973073
2557,190000,0,43595266
2095,20000,0,62674234
2550,394000,2,49071702
4768,622000,4,28780557
2655,0,0,58049509
2249,115000,0,53424016
2178,200000,11,41295846
2137,0,0,25595180
1257,0,0,50161989
4808,0,0,39600474
1506,669000,8,54145055
4852,97000,0,53493921
1785,611000,1,33470176
2231,178000,1,23567114
2138,300000,0,60105736
2725,245000,1,57970360
1602,271000,0,44743888
1822,130000,0,55588555
1659,26000,0,64595577
1050,60000,0,38762305
1593,296000,1,39601232
2772,58000,0,55069506
1710,0,0,42951013
1864,180000,0,61737512
2006,0,0,33187762
4695,1708000,9,62647019
1180,27000,0,49265041
4882,31000,0,45917894
1447,75000,0,63839712
1283,30000,0,47031992
2115,105000,0,63443077
1381,0,0,54815495
2853,75000,1,62287302
4258,536000,2,56316867
1819,132000,0,45331095
4796,57000,0,63788312
0,0,0,0
4763,1104000,3,42384785
1991,484000,4,59010091
1509,736000,3,43205493
1152,110000,0,60267743
5955,283600,1,57822206
1730,489600,1,55077771
1715,247000,1,43234673
1708,752000,1,45943907
5994,15000,0,51848578
2557,965600,1,63803512
2584,0,0,38684226
1042,0,0,33699182
2050,181800,0,48781502
2749,302000,1,49914832
2594,0,0,45730439
2816,735000,3,37228950
2970,318000,0,57719738
1336,215000,0,49431355
2729,138000,0,38981682
1183,0,0,58019442
1280,0,0,57807877
1030,191200,1,39507401
1148,0,0,67888371
1040,410800,0,41862090
5997,205000,0,60582207
1133,0,0,42822911
1666,45000,0,65023249
1050,794000,0,43762519
5989,45000,0,59770715
5975,0,0,51293233
4016,0,0,39538669
1968,15000,0,61661823
1413,0,0,57505826
1047,0,0,35537448
5853,690000,3,48909363
1348,35000,0,41862085
2951,96000,0,39692845
4608,42200,0,60754060
0,0,0,0
1724,295200,2,62019720
5944,0,0,60566942
1509,445000,0,56812425
1409,405000,0,56192858
1015,1230000,6,55429751
5912,223000,0,44112459
5955,360000,0,62328868
5862,0,0,59809074
4774,322000,1,43425250
3043,363000,2,47825314
2889,45000,0,43937340
2965,110000,0,46948199
1416,0,0,44725180
4655,0,0,42461143
2928,0,0,59124507
3014,50000,0,45757304
2898,432000,2,59655375
2970,0,0,48567948
4788,0,0,55095817
1256,217600,1,38458047
5924,30000,0,51201144
2655,91000,0,51356394
1006,0,0,37591489
2930,910000,2,38864613
4784,0,0,37463226
2852,0,0,58245335
2802,0,0,55258916
1154,105000,0,21030048
1280,101000,0,61287968
1040,402000,1,40192806
2749,215000,0,26771257
2877,229000,0,55766521
1330,738200,2,35753705
2951,302000,1,64717831
1794,122400,0,39387926
1233,78000,0,41293302
4609,66000,0,64449825
0,0,0,0
1137,561000,2,59891041
1739,0,0,44900542
2640,2034000,11,41548075
1409,0,0,58125722
1278,146000,1,47764756
4813,237000,2,57640832
1419,0,0,54370615
5890,174000,0,65552721
2244,0,0,38784704
4617,230000,1,60222049
1426,150000,2,53164577
3014,77000,0,59785161
1276,0,0,38728730
1235,867000,9,58074457
1895,0,0,54582505
1718,670000,2,52879887
1730,633000,2,36910045
2586,0,0,40424250
2557,639000,4,60350847
1777,588000,0,46461260
2049,264000,1,49247264
5859,1038000,8,46544125
2852,52000,0,53252950
1170,240000,0,53147202
2584,651000,1,42477400
5888,100000,2,46613483
2655,210000,0,46093445
1651,398000,0,45304464
2248,0,0,59546030
1749,514000,2,32170741
2577,40000,0,39651606
4681,986000,3,35965391
1028,134000,0,46652663
2931,220000,7,44768248
1592,246000,3,62203220
1935,108000,0,50117373
1837,181000,1,58670927
5852,186000,0,50863568
2226,95000,0,60946445
4793,265000,0,32415506
2215,75000,1,40217675
2138,0,0,51598233
2748,148000,0,48608452
2181,368000,2,49147788
1490,126000,0,43722534
2704,275000,1,23554222
1759,753000,2,42467082
1087,120000,0,63497696
4695,940000,19,61144258
1233,380000,3,27341900
1045,438000,0,28158726
1431,120000,0,63000357
2103,31000,0,28495277
2045,5000,0,41303521
4860,149000,0,45126136
1892,19000,0,56699736
1609,0,0,49055072
0,0,0,0
1739,0,0,47082506
1137,620000,3,46065085
4878,54000,0,60168256
2568,413000,0,44041745
1782,898000,3,53314247
5889,438000,0,58063099
4763,0,0,58310893
1015,0,0,22641270
1509,200000,0,36740531
2028,110000,0,28551884
2640,1644000,7,61064580
1426,364000,2,42996779
2754,315000,2,41572318
1523,0,0,51122041
4759,201000,1,54740473
2889,172000,0,44906388
2134,135000,0,39916322
1684,120000,0,58780808
4820,123000,0,31911897
1672,0,0,47860217
5862,50000,0,48440526
2965,0,0,57060527
1989,0,0,41955041
1235,0,0,13353718
1246,34000,1,40855342
1730,518000,2,62666448
1708,416000,1,47638048
4254,242000,0,66112907
1099,0,0,40630620
1081,241000,0,43371493
2928,0,0,60823795
1086,126000,0,43688474
4837,0,0,39289654
2729,26000,0,39697523
4853,60000,0,48415916
5853,193000,0,52940193
2513,0,0,58590643
1516,0,0,14330521
2249,2754000,13,42417580
2210,0,0,60343981
1387,120000,0,63110122
1778,407000,2,45109600
2930,0,0,14849252
1251,93400,0,41243898
1213,0,0,36430955
1028,0,0,60993535
1225,374000,2,35221508
2655,157000,1,64213442
1810,0,0,38275308
1066,300000,0,48970330
2138,360000,0,44084956
4869,212000,1,44830372
1831,0,0,67290181
1330,0,0,56201821
2237,239000,0,46837253
1233,0,0,24660272
4609,15000,0,60082636
1050,153000,0,59259195
2683,0,0,27356039
1134,75000,0,61031259
0,0,0,0
4878,62000,0,63099674
4782,160000,0,39692510
1604,436000,1,48656915
2815,45000,0,51019877
5889,0,0,26430728
1724,933000,3,59285132
2128,183000,0,43472405
5890,986000,4,46522614
1739,215000,0,56218201
2563,272000,1,44277594
4805,582000,3,55470976
4608,0,0,48791779
1573,180000,0,45070414
2244,962000,2,44359992
1112,0,0,33973265
4683,0,0,62989724
1061,0,0,14056967
1684,80000,0,42704065
1763,500000,3,27417580
1672,0,0,26872165
2558,601000,2,34539655
2607,1012000,5,45325976
2584,0,0,44897805
1621,190000,0,49500171
4580,84000,0,59107294
2557,800000,3,51112629
5903,0,0,61443611
2816,385000,1,54405035
2749,205000,0,31927330
1336,280000,1,40905594
1099,126000,1,47645143
1086,470000,0,44777800
2898,0,0,45851742
2928,0,0,39019635
4853,0,0,38154234
2809,270200,1,59947628
1001,201000,1,63281124
5854,0,0,14060720
1040,355000,0,58970592
1208,933000,3,59654141
1516,0,0,42881678
1030,413000,1,27432013
1232,155000,1,58949077
1028,135000,0,46751723
1769,45000,0,32478100
1066,0,0,27541555
1848,105000,0,39488545
1225,38000,0,22057703
1935,152000,0,47869955
2138,30000,0,60356180
1926,356000,0,54027348
2237,235000,1,58750178
1490,0,0,39469952
4850,0,0,24838468
2097,0,0,43705212
1537,0,0,46114752
2050,496000,3,60715692
2852,30000,0,51332844
0,0,0,0
1137,145000,0,53704416
4878,231000,0,58237935
1739,347000,1,62938856
1724,192000,0,41084694
1782,115000,0,55044947
5889,0,0,44908919
4763,238000,1,48824827
1409,100000,0,60542496
2754,142000,0,46694175
1509,1564000,8,64026076
2244,802000,1,29485030
2233,56000,0,36723924
1112,0,0,48364396
4759,435000,2,30438109
2889,219000,0,57164571
1235,60000,0,36356030
1672,796000,2,55751648
1989,0,0,30367634
1763,0,0,47067966
2734,164000,1,58345646
2050,150000,1,43706431
1246,253000,1,36551180
1824,0,0,28907853
4820,304600,1,57190902
4837,39200,0,58158869
1708,1061000,6,59185940
2558,144000,0,62599204
2607,326000,1,59353669
2210,90000,0,64115230
1730,1080000,4,63686152
1099,275000,1,61559617
2729,948000,4,53483457
2557,295000,1,36057495
1008,15000,0,50590187
1162,153000,0,43377130
1251,200000,0,59365432
1208,0,0,58982666
2655,5000,0,56396586
1040,55000,0,46697444
2513,15000,0,42009622
1028,352000,1,29809215
4869,0,0,27533570
1120,325000,0,56725531
1213,367000,0,65490367
2584,170000,1,46068400
1226,273000,1,43349123
1066,0,0,61176405
4808,0,0,53793215
1348,168000,1,61811464
1081,276000,0,41048139
4775,30000,0,60384174
2097,299000,1,40457912
1256,339000,0,58452683
1264,0,0,53335134
1050,0,0,38522843
2653,56000,0,53342606
4850,0,0,59517356
1345,45000,0,46884340
1777,729000,2,53398533
2736,0,0,43755412
0,0,0,0
1137,1362000,8,50891915
1015,144000,0,61295003
2640,136000,0,27437129
1724,455000,2,61024713
2815,0,0,35691512
4782,240000,1,38600838
4763,96000,0,57824059
2080,0,0,56616356
5890,165000,1,62576347
1753,0,0,40175623
1604,112000,0,22345352
2244,160000,1,41059566
1523,708000,3,45163982
4683,0,0,58912312
0,0,0,27433821
4866,0,0,40531021
4837,0,0,27838023
1475,0,0,58036943
2004,238000,0,28388121
1001,133000,1,42042279
2898,150000,0,54153071
2809,75000,0,37150787
2607,184000,1,49100447
1336,278000,1,27443968
2558,133000,1,50059094
2749,116000,1,55580899
2557,492000,2,45540884
1086,150000,1,60485790
4820,425000,1,39319136
1346,136000,0,43894980
2970,75000,0,58982632
1099,826000,4,59701938
1256,0,0,58850863
1237,101000,0,44030675
1451,25000,0,49024502
2249,1060000,5,57278484
1183,0,0,61785049
1058,120000,0,33278486
1730,30000,0,41135590
1251,137000,0,37881992
2852,215000,0,28009594
2655,50000,0,55196254
5853,75000,0,47987932
1030,105000,0,56900280
1133,171000,1,40580315
1769,5000,0,43927912
1213,105000,0,56927968
1040,324000,1,33765080
1756,353000,1,61648980
1992,291000,0,60156645
5903,50000,0,51270390
1233,525000,3,24330182
1148,175000,1,40945041
1926,0,0,44600763
1490,0,0,44652735
1047,0,0,61067575
2520,0,0,36913013
4651,0,0,42946608
2134,271000,0,40353251
0,0,0,0
1137,668000,1,42239060
4878,65000,0,54413112
1724,204000,0,43727485
2754,45000,0,35601680
2640,1802000,10,62629394
4763,495000,2,45804916
2907,72000,0,23283867
5897,0,0,33731612
5890,204000,1,50578254
1523,0,0,62106454
1076,190000,0,57643463
2028,0,0,52599365
4759,103000,0,53310974
4805,885200,2,46324028
5862,180000,0,39097043
1684,311000,1,23391146
1824,157000,0,56947494
2965,257000,2,53183008
1246,108000,0,30498401
1086,0,0,39301047
2557,712000,1,41979748
2816,839000,2,62861195
1099,0,0,47425438
4834,101000,0,56398818
2928,90000,0,56973293
1763,60000,0,42739370
1235,875000,4,49347149
2584,110000,0,41314275
1778,95000,0,37034712
2898,1512000,3,48818013
2249,198000,1,47231040
2134,0,0,26658548
2655,231000,1,43247094
1208,269000,1,40242386
2930,413000,1,28271315
1040,570000,1,39383196
4808,0,0,64210258
1225,70000,0,56749742
1028,0,0,44125535
1837,0,0,47272364
1120,180000,0,57251216
4609,441000,2,53174848
1756,263000,1,40247217
1211,45000,0,58735362
1646,154000,1,44415503
2905,0,0,13733641
1050,0,0,48971573
1116,362000,0,41909914
2133,195000,0,38042259
4775,0,0,52027250
2736,46000,0,43503583
2653,64000,0,58701658
0,0,0,0
2255,136000,0,62917164
1015,1612000,7,57755958
1739,338000,0,54408345
4813,355000,0,56694970
2907,120000,0,61389131
2563,280000,1,47759629
5890,448000,1,63261691
4774,690000,3,38555452
5862,74000,0,64352016
1112,15000,0,43366491
4683,0,0,60536953
4805,423000,1,48956994
2508,110000,0,54227780
1684,85000,0,40755350
2134,243000,1,55466792
1235,896000,5,55404492
2137,514000,0,56254574
1989,0,0,60780216
2749,322400,2,61094639
1475,52000,0,57195962
4647,0,0,27205451
4254,230000,0,59689368
1336,174000,0,58648809
1086,192000,1,42821388
2816,612000,3,58615375
2734,206000,1,62218750
1008,120000,0,59863503
1516,180000,1,50156811
2133,252000,0,36419940
1848,236000,0,53338894
5853,781000,1,58437139
1756,224000,0,36272981
1028,303000,1,47796532
1837,5000,0,39462773
1810,0,0,60436760
2138,165000,0,50037569
1148,264000,1,43308881
1330,616000,4,47294263
4808,26000,0,61484836
0,0,0,24594872
1831,0,0,63924928
1120,588000,2,57100651
1646,108000,0,59355982
2856,90000,0,21233137
1963,90000,0,58924902
4850,0,0,54405795
4775,0,0,43520386
2683,0,0,44720795
1211,0,0,64862344
4884,483200,2,61403838
0,0,0,0
1887,0,0,50637176
1907,75000,0,48222986
2815,10000,0,54219676
2128,45000,0,57065252
2080,105000,0,25650243
4805,627000,3,26886427
2727,448000,1,38728366
2244,214000,1,46796031
2563,631000,2,55058742
1112,0,0,59322193
1753,293000,0,49795037
4866,147000,0,35712474
4774,1889000,7,42024701
1061,105000,0,54848320
2004,60000,0,41828148
2607,0,0,14720916
2137,151000,0,62000205
2965,443000,0,57469696
1763,237000,0,31647402
2749,142000,0,34176428
1172,338000,1,39822111
1086,0,0,42543176
1730,1680000,6,29594797
1475,50000,0,44350240
4820,165000,0,39734474
2557,0,0,14071643
5853,0,0,22334575
2008,450000,1,28448999
2729,26000,0,22249217
2734,801000,2,22049217
1081,344000,1,31152687
1714,481000,2,33172789
2816,475000,0,48331245
2134,182000,0,50054117
1387,19000,0,60453333
4853,105000,0,55819058
2099,362000,1,36821143
2513,0,0,42120293
2809,408000,2,55625883
1030,333400,0,45132567
1756,846000,0,42224017
3041,0,0,42349508
1208,36000,0,49853822
1251,170000,0,58766298
4869,177000,0,53868050
1437,0,0,46729646
2138,60000,0,24876697
1935,0,0,46218406
1810,60000,1,39578753
1985,0,0,58896121
1646,75000,0,35170396
1148,470000,0,62196572
1926,104000,0,27839338
1769,0,0,36742207
2572,0,0,54955894
4775,25000,0,51677162
0,0,0,0
2640,0,0,53227009
5944,96200,0,41882353
4763,395000,2,54882113
5912,528000,2,47460187
1409,318000,1,43299843
4608,426000,2,36734326
1991,598000,2,59600115
1509,246000,2,28059887
5890,195000,0,61214049
1152,304000,0,39619507
1519,0,0,59761658
1989,381000,1,39441325
1099,269000,1,48927491
3039,0,0,60553606
1708,805400,1,52629097
1246,311000,0,44037743
1183,55000,0,51372062
2898,90000,0,62654098
2655,0,0,65243107
2738,413000,0,27947638
1848,433000,0,35605752
1280,166000,1,59807623
1133,348800,1,28630908
5968,0,0,60876038
1756,231000,0,39918089
1450,120000,0,59078192
4632,105000,0,54587002
1028,390000,2,47540278
5932,84000,0,46441515
1257,0,0,46200322
1050,201000,2,27303174
1707,216000,0,60965143
4016,0,0,46763318
4609,378400,1,38656722
5948,110000,0,43949579
0,0,0,0
4878,15000,0,48194694
4763,145200,0,35275370
2028,0,0,44261153
1739,110000,0,61233181
1509,643000,2,48116552
1523,0,0,37314060
5890,0,0,43011151
1409,63000,0,54364728
1076,789000,2,48067259
1112,165000,0,54975787
2244,338000,0,46883695
5862,265000,0,62799690
4774,428000,1,38274111
2889,105000,0,60153875
1672,96000,0,23373972
2050,290000,1,34647183
4820,228000,0,43480431
1246,361000,0,56273590
1730,1659000,5,63737030
1475,32000,0,60926927
2047,147000,0,58142749
2137,62000,0,43330454
2584,895000,2,39851259
2970,268000,1,46556990
2557,944000,2,32918523
1708,380000,2,57850950
1015,841000,4,43618812
2816,329000,1,40421574
2071,0,0,64397609
1081,307000,0,60204970
2749,38000,0,48051533
1099,937000,4,63996085
5853,983000,3,62315611
1778,23000,0,53859476
1086,408000,1,45603925
1251,201000,0,44470563
1213,204000,1,53610220
2134,70000,0,48188500
2549,333000,1,48255539
1120,27000,0,61605925
1225,380000,2,58426926
4843,78000,0,59540757
1028,60000,0,43939618
1066,80000,0,43615286
1330,549000,1,62734981
2509,30000,0,38049798
4808,346000,1,42213573
1148,126000,0,61453866
1299,0,0,26569352
1212,100000,0,60939147
1047,406000,0,53377140
2097,95000,1,58873383
1226,45000,0,60944298
1264,93000,0,43185762
1050,82000,0,52717175
1537,0,0,24755481
1116,437000,1,40066722
2520,0,0,37086174
0,0,0,0
1137,469000,1,55027606
2568,230000,0,44208731
2640,15000,0,14726234
4763,201000,1,55905428
2128,0,0,43101296
2028,15000,0,47611872
2080,240000,1,47385278
4840,65000,0,41611132
4805,167000,0,56615636
4885,232000,1,48559659
4608,382000,1,55883588
2562,460000,2,45677856
2505,315000,1,38885384
4248,282000,2,57417410
1022,462000,2,48896805
2889,38000,0,65256495
0,0,0,14770292
4820,0,0,31833302
1416,185000,1,43896494
1989,474000,2,31151954
1730,220000,0,37614287
2928,182000,1,58372765
2557,1617000,5,37659343
2004,270000,0,59487003
2558,38000,0,64509264
1143,10000,0,25839239
1672,647000,2,35992231
2249,398000,0,52458519
1708,413000,1,57772028
2607,114000,0,43127403
1651,185000,0,62833956
2655,179000,0,61415382
1346,0,0,48475888
1251,0,0,53415682
1884,69000,0,38801813
2930,100000,0,37012676
2513,8400,0,59700762
2584,455600,2,35564058
1040,239000,0,43832805
4817,77200,0,36767851
1232,155000,1,63735900
1769,90000,0,58057267
1066,30000,0,38968226
4651,30000,0,42545731
1413,260000,0,29503696
4258,120000,0,62668992
1233,0,0,26467676
2257,15000,0,39115593
2625,140000,0,63409074
1981,266000,0,58694666
4201,0,0,32640895
1243,770000,3,62644170
2888,220000,0,43514124
1264,0,0,63303895
2092,231000,1,65000123
4850,31000,0,39827370
2771,0,0,48019232
1631,195000,0,51602569
0,0,0,0
1040,84400,0,41383372
1724,204000,1,59854224
1991,243800,1,43096092
5912,210000,0,22532258
1076,528000,2,40544371
2907,222000,0,59828641
1509,315000,1,35190714
1409,1231000,4,58518823
1753,201000,1,56696646
1015,0,0,51402042
1933,120000,0,47094895
1824,210000,0,52751533
2047,100200,0,43069803
5935,45000,0,59481434
1086,0,0,61053305
2749,0,0,43219368
2816,155000,0,26516535
1246,192800,0,62027260
2594,824000,2,60889100
1170,105000,0,49709359
2557,68000,0,42266310
2249,0,0,50162874
1213,90000,0,25359353
2683,0,0,52165895
1149,13600,0,56047376
5932,48000,0,44414194
1028,196000,1,50065130
5997,0,0,43641538
5993,15000,0,52891831
1112,719000,2,66425441
2097,119000,0,44274195
1257,0,0,45750044
1322,96000,0,34848778
4872,0,0,21538750
1050,254200,0,48421632
1537,0,0,58122688
2050,194000,0,47741056
1756,0,0,51517870
2113,0,0,39076528
0,0,0,0
4763,246000,1,49184940
1509,150000,1,62910652
5889,95000,0,41191445
2815,233000,1,60821481
5912,241000,0,63565506
4608,300000,0,52198412
5890,90000,0,43744062
1152,597000,1,36404476
1015,96000,0,63319441
1077,170000,0,54620417
4759,10000,0,27112573
1730,60000,0,57393075
1684,330000,1,46814742
1989,680800,1,31387383
1099,218000,1,57041596
1086,415000,1,59112828
2594,67000,0,48362255
2557,121000,0,58736536
2584,159000,0,29288658
2738,96000,0,53334042
1708,1510200,8,52245796
5976,16000,0,61072354
5989,178000,0,60906701
2809,408000,0,57474634
1213,82000,1,55814229
5969,290000,1,59624081
2655,85000,0,28911186
1040,367200,0,50371945
1081,445000,0,55745598
5997,0,0,58930453
5968,301000,0,43929645
1028,0,0,61856139
2905,75000,0,43095432
1066,336000,0,39932037
1202,165000,0,53619258
5983,60000,0,61895488
1047,116000,0,38606644
2113,0,0,46065051
0,0,0,0
1137,1529000,5,61228132
1724,912000,4,42310455
2640,272000,1,58545928
1782,1595000,6,56788815
4813,871000,2,54484394
5890,150000,0,23190998
4247,172000,0,31341140
1509,522000,2,43527217
2027,108000,0,39371229
4782,285000,0,60450960
1950,226000,1,54889204
1010,520000,3,46319449
1684,75000,0,34458224
2681,208000,0,56901346
1376,30000,0,53377875
5893,502000,1,50619807
2562,0,0,21606916
1003,0,0,52954632
4531,0,0,25098714
2150,45000,0,26592036
2928,180000,0,46043254
0,0,0,27570000
2004,398000,2,60823641
4580,0,0,60860087
2169,0,0,58450220
1149,634000,3,49638239
4657,579000,2,45962080
1651,669000,1,55331130
4233,342000,1,57071532
1884,0,0,42054730
1346,95000,0,48580584
1086,0,0,51816413
4202,56000,0,45232433
1365,0,0,50778344
1208,404000,2,21823842
2249,1309000,6,51962291
1935,93000,0,58042205
1769,423000,0,28782022
2257,148000,0,58983892
1256,5000,0,30631485
1525,0,0,53407529
4579,0,0,48152987
4258,15000,0,21789220
1233,0,0,63705133
1794,0,0,47899099
1231,0,0,57383183
2852,115000,0,66104772
1116,956000,1,30899201
4651,0,0,54596008
1779,0,0,59997319
5903,283000,0,45649068
1050,710000,0,42334319
1264,0,0,47195708
2097,833000,3,44432393
2092,90000,0,24772324
1047,120000,0,54897205
2113,0,0,60579171
0,0,0,0
1509,1570000,6,62313705
2208,263000,1,44672673
1426,0,0,28055177
1409,189000,0,59082416
1753,135000,0,34376602
2563,1244000,3,37983551
1817,75000,1,27249824
1807,244000,0,42704409
2028,0,0,56042428
4245,103000,0,42574005
1152,0,0,13541630
1353,340000,3,59782008
2942,426000,1,43898612
1061,375000,0,48928072
1986,290000,1,53919732
1255,171000,2,50971441
2898,0,0,25838686
2675,41000,0,44888459
1565,105000,0,63986953
3043,1056000,5,60828230
4812,270000,1,61770565
2562,90000,0,48751089
2001,501000,2,30344292
2809,119000,0,41356082
4233,0,0,43387058
1243,170400,0,41972753
1778,413000,2,43621039
2549,74000,0,42200884
1416,129000,0,23454288
1174,219000,0,57817939
2156,186000,0,35755545
2118,276000,1,50910245
4263,167000,1,63807226
1252,330000,1,59179776
2655,15000,0,46738188
1051,365000,0,47056967
1424,86000,0,38076721
1348,75000,0,62136773
1434,1158800,5,55558139
2200,0,0,51886775
1756,30000,0,39467732
4793,412000,2,57878605
1840,0,0,42641812
1285,580000,2,37112034
1794,660000,3,43332992
1330,357000,0,57419144
1939,40000,0,44521593
1592,0,0,33681867
1553,70000,0,44454894
4609,491000,1,50147624
1233,355000,1,57788832
4238,35000,0,28691264
2666,293000,1,40598629
2237,254000,5,43034264
2565,230000,1,48233811
2139,0,0,50246690
1027,0,0,58291364
4842,443000,0,53019228
4882,0,0,59578930
1305,30000,0,42873946
0,0,0,0
2596,106000,0,27222075
4878,134400,0,43112260
1137,1608000,7,48187181
2640,458000,2,34836534
4763,656000,2,40301437
5890,326000,1,43408113
2080,0,0,40926525
4813,125000,0,61665818
4840,93000,0,39177194
1117,444000,1,53256862
4805,105000,0,31805080
1753,224000,0,44726462
4774,0,0,24588452
4885,1222000,4,58573271
1684,283000,0,42637475
1010,605000,2,47008216
2004,1390000,5,54408840
2562,778400,4,55817027
1730,15000,0,48329337
3014,35000,0,43253812
1916,0,0,63555438
4657,95000,0,62908680
2587,195000,0,42263984
1651,225000,0,32709445
1003,0,0,43681284
4580,150000,1,63858509
2749,28000,0,56054308
2929,96000,0,42946470
1989,531000,2,45174037
2725,5000,0,47989014
2965,0,0,66654078
4202,0,0,64849425
1251,452000,2,40286898
5853,0,0,13458254
2655,35000,0,45746817
1149,0,0,13465970
1243,220000,1,55602194
4820,143000,0,61488825
2930,378000,2,53763022
1030,125000,0,35119896
1229,0,0,45941361
1232,153400,0,54782445
1151,90000,0,54969109
1040,140000,0,29327886
4248,620000,2,44855595
4656,126000,0,32367970
2600,590000,2,56840196
1756,212000,0,41807464
4236,110000,0,47024205
1953,0,0,47539428
2980,0,0,49067994
1148,736000,0,65005682
5902,105000,0,61533547
2215,1051000,2,61802247
1116,45000,0,49365726
5896,99000,0,38232489
1050,391000,1,58737761
2520,1000,0,45531293
0,0,0,0
1782,720000,4,63999049
2824,447000,1,47661980
4763,1418400,9,47571635
1793,10000,0,40427604
1509,640000,3,60500300
1690,15000,0,53918753
2027,633000,1,43361329
4683,0,0,32269015
4885,68000,0,58212252
1950,0,0,42217545
2858,0,0,59915477
2562,512000,1,34157284
4837,229000,0,52353927
1763,69000,0,60004672
2889,274000,0,54816802
1001,25000,0,49093029
4820,287000,0,63957693
4248,120000,0,47691564
2150,150000,0,53290662
1684,45000,0,46554052
2749,78000,0,58346392
2898,0,0,26485016
1475,15000,0,54776144
1916,180000,0,52245854
1149,0,0,45277233
2928,161000,1,59463004
2970,227000,0,42375022
1051,150000,1,35210748
1183,0,0,62143939
1099,30000,0,59565212
1003,35000,0,44830051
2852,35000,0,45059113
4855,618000,2,52042407
1582,0,0,50051035
1154,0,0,64966085
4233,462000,1,49401440
2980,75000,0,62861522
1058,0,0,27926097
2930,0,0,26654374
1213,213000,0,35626195
2655,20000,0,61656714
1009,0,0,51840507
1030,740000,2,43114163
1208,962000,4,27153507
1935,0,0,55537409
1148,328000,1,51746293
4692,0,0,58024365
1953,0,0,42179494
4793,36000,0,43921080
1525,290000,2,43388153
5855,834000,2,53967426
1233,500000,3,41663428
4201,84000,0,46692862
1654,0,0,58664914
1047,214000,0,47195623
4850,0,0,65799437
2597,118000,0,41726578
1447,0,0,39374324
1066,62000,0,59999022
0,0,0,0
1739,171000,0,39256058
2568,105000,0,39424818
2235,304000,1,49720253
1015,0,0,57972623
4763,96000,0,48448659
2754,0,0,55504971
2551,196000,0,55314168
2021,98800,0,44721439
1523,375000,1,63202363
2727,623000,3,44161010
